iter	Passed	Remaining
943	62123	3685
944	62185	3619
945	62245	3553
946	62313	3487
947	62376	3421
948	62447	3355
949	62505	3289
950	62569	3223
951	62631	3157
952	62691	3091
953	62756	3025
954	62823	2960
955	62885	2894
956	62955	2828
957	63029	2763
958	63108	2698
959	63170	2632
960	63234	2566
961	63312	2500
962	63392	2435
963	63471	2370
964	63534	2304
965	63596	2238
966	63659	2172
967	63725	2106
968	63787	2040
969	63847	1974
970	63908	1908
971	63969	1842
972	64034	1776
973	64101	1711
974	64164	1645
975	64230	1579
976	64290	1513
977	64348	1447
978	64424	1381
979	64484	1316
980	64546	1250
981	64611	1184
982	64678	1118
983	64745	1052
984	64808	986
985	64870	921
986	64932	855
987	64996	789
988	65062	723
989	65129	657
990	65194	592
991	65267	526
992	65327	460
993	65401	394
994	65462	328
995	65530	263
996	65596	197
997	65663	131
998	65726	65
999	65786	0
